survival_time,survival_rate,total_gains,gain,efficiency,equality,over_usage,gains_by_agent,scenario,model,run,Type
1,0.0,100.0,20.0,16.666666666666664,67.6,40.0,"{'persona_0': 29.0, 'persona_1': 41.0, 'persona_2': 10.0, 'persona_3': 10.0, 'persona_4': 10.0}",fishing_v6.4_final,DeepSeek-R1-Distill-Llama-8B,clean-leaf-618,run
1,0.0,100.0,20.0,16.666666666666664,68.8,40.0,"{'persona_0': 32.0, 'persona_1': 38.0, 'persona_2': 10.0, 'persona_3': 10.0, 'persona_4': 10.0}",fishing_v6.4_final,DeepSeek-R1-Distill-Llama-8B,deep-firebrand-623,run
1,0.0,100.0,20.0,16.666666666666664,69.6,40.0,"{'persona_0': 34.0, 'persona_1': 36.0, 'persona_2': 10.0, 'persona_3': 10.0, 'persona_4': 10.0}",fishing_v6.4_final,DeepSeek-R1-Distill-Llama-8B,devout-blaze-626,run
1,0.0,100.0,20.0,16.666666666666664,69.6,40.0,"{'persona_0': 36.0, 'persona_1': 34.0, 'persona_2': 10.0, 'persona_3': 10.0, 'persona_4': 10.0}",fishing_v6.4_final,DeepSeek-R1-Distill-Llama-8B,glamorous-dragon-622,run
1,0.0,100.0,20.0,16.666666666666664,76.0,60.0,"{'persona_0': 30.0, 'persona_1': 30.0, 'persona_2': 10.0, 'persona_3': 10.0, 'persona_4': 20.0}",fishing_v6.4_final,DeepSeek-R1-Distill-Llama-8B,hearty-firebrand-603,run
1,0.0,100.0,20.0,16.666666666666664,92.80000000000001,100.0,"{'persona_0': 19.0, 'persona_1': 22.0, 'persona_2': 18.0, 'persona_3': 17.0, 'persona_4': 24.0}",fishing_v6.4_final,Meta-Llama-2-13B,amber-bush-183,run
1,0.0,100.0,20.0,16.666666666666664,91.2,100.0,"{'persona_0': 19.0, 'persona_1': 22.0, 'persona_2': 16.0, 'persona_3': 25.0, 'persona_4': 18.0}",fishing_v6.4_final,Meta-Llama-2-13B,deft-spaceship-83,run
1,0.0,100.0,20.0,16.666666666666664,92.4,100.0,"{'persona_0': 19.0, 'persona_1': 22.0, 'persona_2': 21.0, 'persona_3': 15.0, 'persona_4': 23.0}",fishing_v6.4_final,Meta-Llama-2-13B,dutiful-water-84,run
1,0.0,100.0,20.0,16.666666666666664,88.0,100.0,"{'persona_0': 23.0, 'persona_1': 27.0, 'persona_2': 15.0, 'persona_3': 17.0, 'persona_4': 18.0}",fishing_v6.4_final,Meta-Llama-2-13B,lunar-music-180,run
1,0.0,100.0,20.0,16.666666666666664,83.2,100.0,"{'persona_0': 15.0, 'persona_1': 23.0, 'persona_2': 29.0, 'persona_3': 12.0, 'persona_4': 21.0}",fishing_v6.4_final,Meta-Llama-2-13B,lyric-sponge-82,run
1,0.0,100.0,20.0,16.666666666666664,94.8,100.0,"{'persona_0': 18.0, 'persona_1': 19.0, 'persona_2': 24.0, 'persona_3': 20.0, 'persona_4': 19.0}",fishing_v6.4_final,Meta-Llama-2-7B,dashing-dragon-386,run
1,0.0,100.0,20.0,16.666666666666664,88.4,100.0,"{'persona_0': 28.0, 'persona_1': 20.0, 'persona_2': 15.0, 'persona_3': 17.0, 'persona_4': 20.0}",fishing_v6.4_final,Meta-Llama-2-7B,llama2_7b_fishing_seed1,run
1,0.0,100.0,20.0,16.666666666666664,87.6,100.0,"{'persona_0': 15.0, 'persona_1': 25.0, 'persona_2': 26.0, 'persona_3': 18.0, 'persona_4': 16.0}",fishing_v6.4_final,Meta-Llama-2-7B,llama2_7b_fishing_seed100,run
1,0.0,100.0,20.0,16.666666666666664,95.6,100.0,"{'persona_0': 21.0, 'persona_1': 22.0, 'persona_2': 20.0, 'persona_3': 17.0, 'persona_4': 20.0}",fishing_v6.4_final,Meta-Llama-2-7B,llama2_7b_fishing_seed42,run
1,0.0,100.0,20.0,16.666666666666664,92.0,100.0,"{'persona_0': 17.0, 'persona_1': 17.0, 'persona_2': 23.0, 'persona_3': 24.0, 'persona_4': 19.0}",fishing_v6.4_final,Meta-Llama-2-7B,logical-waterfall-385,run
2,0.0,110.0,22.0,18.333333333333336,94.54545454545455,80.0,"{'persona_0': 22.0, 'persona_1': 21.0, 'persona_2': 19.0, 'persona_3': 26.0, 'persona_4': 22.0}",fishing_v6.4_final,Meta-Llama-3-8B,atomic-cloud-247,run
2,0.0,110.0,22.0,18.333333333333336,94.54545454545455,90.0,"{'persona_0': 18.0, 'persona_1': 25.0, 'persona_2': 22.0, 'persona_3': 22.0, 'persona_4': 23.0}",fishing_v6.4_final,Meta-Llama-3-8B,dauntless-rain-261,run
2,0.0,110.0,22.0,18.333333333333336,94.18181818181817,100.0,"{'persona_0': 18.0, 'persona_1': 24.0, 'persona_2': 20.0, 'persona_3': 24.0, 'persona_4': 24.0}",fishing_v6.4_final,Meta-Llama-3-8B,dry-donkey-255,run
2,0.0,110.0,22.0,18.333333333333336,92.72727272727272,100.0,"{'persona_0': 18.0, 'persona_1': 25.0, 'persona_2': 19.0, 'persona_3': 25.0, 'persona_4': 23.0}",fishing_v6.4_final,Meta-Llama-3-8B,pious-firebrand-264,run
2,0.0,110.0,22.0,18.333333333333336,92.36363636363636,90.0,"{'persona_0': 20.0, 'persona_1': 25.0, 'persona_2': 17.0, 'persona_3': 23.0, 'persona_4': 25.0}",fishing_v6.4_final,Meta-Llama-3-8B,stilted-fog-251,run
1,0.0,100.0,20.0,16.666666666666664,74.0,80.0,"{'persona_0': 21.0, 'persona_1': 30.0, 'persona_2': 0.0, 'persona_3': 23.0, 'persona_4': 26.0}",fishing_v6.4_final,Mistral-7B-Instruct-v0.2,denim-serenity-93,run
1,0.0,100.0,20.0,16.666666666666664,72.39999999999999,80.0,"{'persona_0': 27.0, 'persona_1': 30.0, 'persona_2': 0.0, 'persona_3': 25.0, 'persona_4': 18.0}",fishing_v6.4_final,Mistral-7B-Instruct-v0.2,fragrant-aardvark-92,run
1,0.0,100.0,20.0,16.666666666666664,50.0,40.0,"{'persona_0': 40.0, 'persona_1': 5.0, 'persona_2': 0.0, 'persona_3': 10.0, 'persona_4': 45.0}",fishing_v6.4_final,Mistral-7B-Instruct-v0.2,genial-pond-57,run
1,0.0,100.0,20.0,16.666666666666664,50.0,40.0,"{'persona_0': 40.0, 'persona_1': 5.0, 'persona_2': 0.0, 'persona_3': 10.0, 'persona_4': 45.0}",fishing_v6.4_final,Mistral-7B-Instruct-v0.2,noble-voice-60,run
1,0.0,100.0,20.0,16.666666666666664,50.0,40.0,"{'persona_0': 40.0, 'persona_1': 5.0, 'persona_2': 0.0, 'persona_3': 10.0, 'persona_4': 45.0}",fishing_v6.4_final,Mistral-7B-Instruct-v0.2,whole-haze-59,run
12,100.0,600.0,120.0,100.0,100.0,0.0,"{'persona_0': 120.0, 'persona_1': 120.0, 'persona_2': 120.0, 'persona_3': 120.0, 'persona_4': 120.0}",fishing_v6.4_final,Phi-4,daily-fire-328,run
12,100.0,600.0,120.0,100.0,100.0,0.0,"{'persona_0': 120.0, 'persona_1': 120.0, 'persona_2': 120.0, 'persona_3': 120.0, 'persona_4': 120.0}",fishing_v6.4_final,Phi-4,dandy-terrain-331,run
12,100.0,600.0,120.0,100.0,100.0,0.0,"{'persona_0': 120.0, 'persona_1': 120.0, 'persona_2': 120.0, 'persona_3': 120.0, 'persona_4': 120.0}",fishing_v6.4_final,Phi-4,icy-snow-297,run
12,100.0,600.0,120.0,100.0,100.0,0.0,"{'persona_0': 120.0, 'persona_1': 120.0, 'persona_2': 120.0, 'persona_3': 120.0, 'persona_4': 120.0}",fishing_v6.4_final,Phi-4,leafy-lion-329,run
12,100.0,600.0,120.0,100.0,100.0,0.0,"{'persona_0': 120.0, 'persona_1': 120.0, 'persona_2': 120.0, 'persona_3': 120.0, 'persona_4': 120.0}",fishing_v6.4_final,Phi-4,trim-breeze-307,run
3,0.0,110.0,22.0,18.333333333333336,23.636363636363633,6.666666666666667,"{'persona_0': 100.0, 'persona_1': 10.0, 'persona_2': 0.0, 'persona_3': 0.0, 'persona_4': 0.0}",fishing_v6.4_final,Qwen2.5-7B,clear-flower-200,run
3,0.0,120.0,24.0,19.999999999999996,20.333333333333336,13.333333333333334,"{'persona_0': 0.0, 'persona_1': 0.0, 'persona_2': 0.0, 'persona_3': 119.0, 'persona_4': 1.0}",fishing_v6.4_final,Qwen2.5-7B,crimson-fog-199,run
7,0.0,120.0,24.0,19.999999999999996,19.999999999999996,5.714285714285714,"{'persona_0': 0.0, 'persona_1': 120.0, 'persona_2': 0.0, 'persona_3': 0.0, 'persona_4': 0.0}",fishing_v6.4_final,Qwen2.5-7B,ethereal-wood-201,run
9,0.0,134.0,26.8,22.33333333333334,22.985074626865675,4.444444444444445,"{'persona_0': 0.0, 'persona_1': 0.0, 'persona_2': 124.0, 'persona_3': 0.0, 'persona_4': 10.0}",fishing_v6.4_final,Qwen2.5-7B,usual-star-192,run
10,0.0,159.0,31.8,26.5,29.811320754716984,4.0,"{'persona_0': 0.0, 'persona_1': 130.0, 'persona_2': 19.0, 'persona_3': 0.0, 'persona_4': 10.0}",fishing_v6.4_final,Qwen2.5-7B,wise-planet-194,run
12,0.0,585.0,117.0,97.5,89.94871794871796,11.666666666666666,"{'persona_0': 152.0, 'persona_1': 128.0, 'persona_2': 110.0, 'persona_3': 90.0, 'persona_4': 105.0}",fishing_v6.4_final,Systemic_DeepSeek-R1-Distill-Llama-8B,curious-meadow-612,run
5,0.0,234.0,46.8,39.0,85.98290598290599,36.0,"{'persona_0': 34.0, 'persona_1': 40.0, 'persona_2': 46.0, 'persona_3': 72.0, 'persona_4': 42.0}",fishing_v6.4_final,Systemic_DeepSeek-R1-Distill-Llama-8B,easy-plant-613,run
3,0.0,195.0,39.0,32.49999999999999,87.8974358974359,46.666666666666664,"{'persona_0': 30.0, 'persona_1': 40.0, 'persona_2': 29.0, 'persona_3': 45.0, 'persona_4': 51.0}",fishing_v6.4_final,Systemic_DeepSeek-R1-Distill-Llama-8B,magic-fog-628,run
2,0.0,107.0,21.4,17.833333333333336,67.10280373831776,60.0,"{'persona_0': 52.0, 'persona_1': 11.0, 'persona_2': 18.0, 'persona_3': 14.0, 'persona_4': 12.0}",fishing_v6.4_final,Systemic_DeepSeek-R1-Distill-Llama-8B,northern-armadillo-627,run
