model,scenario,survival_rate,survival_time,gain,efficiency,equality,over_usage
DeepSeek-R1-Distill-Llama-8B,fishing_v6.4_final,0.0,1.0,20.0,16.667,70.32,44.0
Meta-Llama-2-13B,fishing_v6.4_final,0.0,1.0,20.0,16.667,89.52,100.0
Meta-Llama-2-13B,pollution_v6.4_final,0.0,1.0,20.0,16.667,48.4,40.0
Meta-Llama-2-13B,sheep_v6.4_final,0.0,1.0,20.0,16.667,89.52,100.0
Meta-Llama-2-7B,fishing_v6.4_final,0.0,1.0,20.0,16.667,91.68,100.0
Meta-Llama-2-7B,pollution_v6.4_final,0.0,1.0,20.0,16.667,55.36,60.0
Meta-Llama-2-7B,sheep_v6.4_final,0.0,1.0,20.0,16.667,78.56,80.0
Meta-Llama-3-8B,fishing_v6.4_final,0.0,2.0,22.0,18.333,93.673,92.0
Meta-Llama-3-8B,pollution_v6.4_final,0.0,1.0,20.0,16.667,56.16,60.0
Meta-Llama-3-8B,sheep_v6.4_final,0.0,1.0,20.0,16.667,91.6,100.0
Mistral-7B-Instruct-v0.2,fishing_v6.4_final,0.0,1.0,20.0,16.667,59.28,56.0
Mistral-7B-Instruct-v0.2,pollution_v6.4_final,0.0,1.0,20.0,16.667,74.08,80.0
Mistral-7B-Instruct-v0.2,sheep_v6.4_final,0.0,1.0,20.0,16.667,89.84,100.0
Phi-4,fishing_v6.4_final,100.0,12.0,120.0,100.0,100.0,0.0
Phi-4,pollution_v6.4_final,0.0,2.0,22.0,18.333,67.927,58.0
Phi-4,sheep_v6.4_final,0.0,3.4,33.04,27.533,95.079,78.0
Qwen2.5-7B,fishing_v6.4_final,0.0,6.4,25.72,21.433,23.353,6.832
Qwen2.5-7B,pollution_v6.4_final,0.0,3.4,26.0,21.667,27.23,10.6
Qwen2.5-7B,sheep_v6.4_final,20.0,5.4,27.6,23.0,31.485,11.0
Systemic_DeepSeek-R1-Distill-Llama-8B,fishing_v6.4_final,0.0,5.0,52.04,43.367,83.875,40.2
Systemic_Meta-Llama-3-8B,fishing_v6.4_final,0.0,2.6,27.84,23.2,86.12,82.0
Systemic_Meta-Llama-3-8B,pollution_v6.4_final,0.0,2.6,27.52,22.933,81.239,58.667
Systemic_Meta-Llama-3-8B,sheep_v6.4_final,0.0,1.0,20.0,16.667,89.36,100.0
Systemic_Mistral-7B-Instruct-v0.2,fishing_v6.4_final,0.0,1.4,21.12,17.6,67.716,58.0
Systemic_Mistral-7B-Instruct-v0.2,pollution_v6.4_final,0.0,1.0,20.0,16.667,73.84,80.0
Systemic_Mistral-7B-Instruct-v0.2,sheep_v6.4_final,0.0,1.0,20.0,16.667,90.64,100.0
Systemic_Phi-4,fishing_v6.4_final,20.0,5.0,46.8,39.0,93.942,52.667
Systemic_Phi-4,pollution_v6.4_final,40.0,5.6,34.24,28.533,80.168,39.333
Systemic_Phi-4,sheep_v6.4_final,40.0,7.8,74.88,62.4,98.252,48.0
Univ_DeepSeek-R1-Distill-Llama-8B,fishing_v6.4_final,40.0,8.8,86.4,72.0,85.932,5.411
Univ_Meta-Llama-2-7B,fishing_v6.4_final,0.0,1.0,20.0,16.667,84.0,80.0
Univ_Meta-Llama-2-7B,pollution_v6.4_final,0.0,1.0,20.0,16.667,85.68,84.0
Univ_Meta-Llama-2-7B,sheep_v6.4_final,0.0,1.2,20.4,17.0,60.327,48.0
Univ_Meta-Llama-3-8B,fishing_v6.4_final,100.0,12.0,68.96,57.467,89.707,10.333
Univ_Meta-Llama-3-8B,pollution_v6.4_final,20.0,7.0,36.84,30.7,70.006,8.552
Univ_Meta-Llama-3-8B,sheep_v6.4_final,0.0,1.6,24.84,20.7,65.047,24.0
Univ_Mistral-7B-Instruct-v0.2,fishing_v6.4_final,0.0,5.0,45.4,37.833,67.9,29.352
Univ_Mistral-7B-Instruct-v0.2,pollution_v6.4_final,0.0,1.0,20.0,16.667,54.72,48.0
Univ_Mistral-7B-Instruct-v0.2,sheep_v6.4_final,0.0,1.0,20.0,16.667,75.92,76.0
Univ_Phi-4,fishing_v6.4_final,100.0,12.0,119.8,99.833,99.866,0.0
Univ_Phi-4,pollution_v6.4_final,100.0,12.0,91.84,76.533,95.046,4.0
Univ_Phi-4,sheep_v6.4_final,100.0,12.0,120.0,100.0,100.0,0.0
Univ_alt_DeepSeek-R1-Distill-Llama-8B,fishing_v6.4_final,20.0,5.4,49.68,41.4,77.419,21.067
Univ_alt_Meta-Llama-3-8B,fishing_v6.4_final,20.0,5.0,42.12,35.1,86.145,49.667
Univ_alt_Meta-Llama-3-8B,pollution_v6.4_final,0.0,1.0,20.0,16.667,85.2,96.0
Univ_alt_Meta-Llama-3-8B,sheep_v6.4_final,0.0,1.0,20.0,16.667,86.64,100.0
Univ_alt_Mistral-7B-Instruct-v0.2,fishing_v6.4_final,20.0,4.2,35.76,29.8,70.813,36.8
Univ_alt_Mistral-7B-Instruct-v0.2,pollution_v6.4_final,0.0,1.0,20.0,16.667,86.16,100.0
Univ_alt_Mistral-7B-Instruct-v0.2,sheep_v6.4_final,0.0,1.0,20.0,16.667,74.96,76.0
Univ_alt_Phi-4,fishing_v6.4_final,80.0,11.0,98.84,82.367,98.931,12.81
Univ_alt_Phi-4,pollution_v6.4_final,40.0,7.4,45.52,37.933,89.623,29.267
Univ_alt_Phi-4,sheep_v6.4_final,60.0,8.4,75.08,62.567,94.409,27.333
VeilOfIgnorance_DeepSeek-R1-Distill-Llama-8B,fishing_v6.4_final,0.0,2.6,30.44,25.367,76.878,52.0
VeilOfIgnorance_Meta-Llama-3-8B,fishing_v6.4_final,0.0,1.0,20.0,16.667,90.64,100.0
VeilOfIgnorance_Meta-Llama-3-8B,pollution_v6.4_final,0.0,1.2,20.8,17.333,72.267,78.0
VeilOfIgnorance_Meta-Llama-3-8B,sheep_v6.4_final,0.0,1.0,20.0,16.667,89.84,100.0
VeilOfIgnorance_Mistral-7B-Instruct-v0.2,fishing_v6.4_final,0.0,1.0,20.0,16.667,88.48,96.0
VeilOfIgnorance_Mistral-7B-Instruct-v0.2,pollution_v6.4_final,0.0,1.0,20.0,16.667,76.08,84.0
