model,base_model,difference_efficiency,difference_equality,difference_gain,difference_over_usage,difference_survival_rate,difference_survival_time,difference_ci_efficiency,difference_ci_equality,difference_ci_gain,difference_ci_over_usage,difference_ci_survival_rate,difference_ci_survival_time
Systemic_DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,26.7,13.555,32.04,-3.8,0.0,4.0,27.364,8.795,32.836,17.68,0.0,3.561
Systemic_Meta-Llama-3-8B,Meta-Llama-3-8B,3.711,5.095,4.453,-3.778,0.0,0.734,2.735,9.473,3.282,13.906,0.0,0.609
Systemic_Mistral-7B-Instruct-v0.2,Mistral-7B-Instruct-v0.2,0.311,2.999,0.373,0.666,0.0,0.133,0.492,9.575,0.59,14.857,0.0,0.178
Systemic_Phi-4,Phi-4,-5.311,3.119,-6.374,1.334,0.0,0.333,23.817,8.839,28.58,23.918,34.923,3.247
Univ_DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,55.333,15.612,66.4,-38.589,40.0,7.8,27.572,14.209,33.087,8.708,48.01,3.79
Univ_Meta-Llama-2-7B,Meta-Llama-2-7B,0.111,1.469,0.133,-9.333,0.0,0.067,0.218,10.436,0.261,13.178,0.0,0.131
Univ_Meta-Llama-3-8B,Meta-Llama-3-8B,19.067,-5.558,22.88,-69.705,40.0,5.534,9.252,11.859,11.102,10.776,25.662,2.401
Univ_Mistral-7B-Instruct-v0.2,Mistral-7B-Instruct-v0.2,7.055,-8.22,8.467,-27.55,0.0,1.333,7.155,10.572,8.586,16.127,0.0,1.375
Univ_Phi-4,Phi-4,43.5,10.635,52.2,-44.0,66.667,6.2,20.095,7.542,24.114,17.462,24.694,2.321
Univ_alt_DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,24.733,7.099,29.68,-22.933,20.0,4.4,14.627,10.642,17.553,18.24,39.2,3.429
Univ_alt_Meta-Llama-3-8B,Meta-Llama-3-8B,5.589,5.517,6.706,-2.111,6.667,1.0,5.544,10.212,6.653,17.047,13.067,1.474
Univ_alt_Mistral-7B-Instruct-v0.2,Mistral-7B-Instruct-v0.2,4.377,2.911,5.253,-7.734,6.667,1.067,6.498,9.133,7.797,18.265,13.067,1.487
Univ_alt_Phi-4,Phi-4,12.334,6.652,14.8,-22.196,26.667,3.133,24.706,7.989,29.647,21.572,35.614,3.1
VeilOfIgnorance_DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,8.7,6.558,10.44,8.0,0.0,1.6,4.804,11.265,5.764,16.399,0.0,0.784
VeilOfIgnorance_Meta-Llama-3-8B,Meta-Llama-3-8B,-0.333,3.771,-0.4,8.667,0.0,-0.266,0.6,10.319,0.719,10.865,0.0,0.28
VeilOfIgnorance_Mistral-7B-Instruct-v0.2,Mistral-7B-Instruct-v0.2,0.0,9.653,0.0,14.666,0.0,0.0,0.0,9.321,0.0,12.764,0.0,0.0
VeilOfIgnorance_Phi-4,Phi-4,-4.666,3.896,-5.6,0.823,-6.666,-0.333,24.961,8.378,29.952,25.193,33.859,3.269
