condition,metric,base_mean,exp_mean,mean_difference,percent_change,p_value,effect_size
Basic Universalization,survival_rate,7.6923076923076925,35.38461538461539,27.692307692307693,360.0,0.00010214807264143632,0.7099110869447781
Basic Universalization,survival_time,2.1846153846153844,5.815384615384615,3.6307692307692307,166.19718309859158,2.4390749471409877e-06,0.8758602428497794
Basic Universalization,gain,29.003076923076925,53.421538461538454,24.41846153846153,84.19265860386162,7.576668430536117e-05,0.7208799253268258
Basic Universalization,efficiency,24.16923076923077,44.51794871794872,20.34871794871795,84.19265860386167,7.576668430536059e-05,0.720879925326826
Basic Universalization,equality,78.73529698924902,79.55001621234344,0.8147192230944142,1.0347572870724813,0.7779708536259206,0.04956467532875759
Basic Universalization,over_usage,69.84615384615384,32.126806526806526,-37.719347319347314,-54.00347083166466,5.910464931901272e-11,-1.255977249130512
Alternative Universalization,survival_rate,10.0,24.0,14.0,140.0,0.06374094330499132,0.3755368159672802
Alternative Universalization,survival_time,2.54,4.54,2.0,78.74015748031495,0.012630704247565593,0.5090336986008966
Alternative Universalization,gain,31.704,42.7,10.996000000000002,34.68332071662882,0.07716270559012557,0.35724601084537666
Alternative Universalization,efficiency,26.419999999999995,35.58333333333333,9.163333333333334,34.68332071662882,0.07716270559012561,0.35724601084537655
Alternative Universalization,equality,79.79588608602374,85.03006066737527,5.234174581351525,6.559454175004506,0.06111075989206361,0.379393022401081
Alternative Universalization,over_usage,66.8,54.894285714285715,-11.905714285714282,-17.82292557741659,0.08284983774346373,-0.3506238424943623
Systemic,survival_rate,10.0,10.0,0.0,0.0,1.0,0.0
Systemic,survival_time,2.54,3.3,0.7599999999999998,29.921259842519675,0.2639403771821068,0.22471875550033216
Systemic,gain,31.704,34.444,2.740000000000002,8.642442593994454,0.6250492754097301,0.09805810396406257
Systemic,efficiency,26.419999999999995,28.70333333333333,2.283333333333335,8.642442593994456,0.6250492754097301,0.09805810396406257
Systemic,equality,79.79588608602374,84.51535921300227,4.719473126978528,5.914431631087739,0.08344280021498822,0.35035816318843793
Systemic,over_usage,66.8,65.88666666666667,-0.9133333333333269,-1.3672654690618666,0.8779670655819877,-0.030789745302152845
Veil of Ignorance,survival_rate,10.0,8.0,-2.0,-20.0,0.7299961704283585,-0.06922554470078082
Veil of Ignorance,survival_time,2.54,2.52,-0.020000000000000018,-0.7874015748031503,0.9752978785174955,-0.006208746237817203
Veil of Ignorance,gain,31.704,30.948,-0.7560000000000002,-2.384557153671462,0.8916741721380481,-0.02731020948186793
Veil of Ignorance,efficiency,26.419999999999995,25.79,-0.6299999999999955,-2.3845571536714445,0.891674172138049,-0.027310209481867718
Veil of Ignorance,equality,79.79588608602374,85.64782440750345,5.851938321479707,7.333634111376419,0.03304812856519598,0.433379905899277
Veil of Ignorance,over_usage,66.8,74.84666666666666,8.046666666666667,12.045908183632735,0.1930837118756372,0.2621060529382888
